Unknown command: '0.0.0.0:8000'
Type 'manage.py help' for usage.
[17/Jun/2017 18:23:56] "GET /view_images?id=15981 HTTP/1.1" 301 0
[17/Jun/2017 18:23:56] "GET /view_images/?id=15981 HTTP/1.1" 200 7619
[17/Jun/2017 18:24:13] "GET /view_images?id=15980 HTTP/1.1" 301 0
[17/Jun/2017 18:24:13] "GET /view_images/?id=15980 HTTP/1.1" 200 7073
[17/Jun/2017 18:24:25] "GET /query_images/?query=&pageid=9 HTTP/1.1" 200 6819
[17/Jun/2017 18:24:28] "GET /view_images?id=15969 HTTP/1.1" 301 0
[17/Jun/2017 18:24:28] "GET /view_images/?id=15969 HTTP/1.1" 200 7835
[17/Jun/2017 18:24:42] "GET /view_images?id=15948 HTTP/1.1" 301 0
[17/Jun/2017 18:24:42] "GET /view_images/?id=15948 HTTP/1.1" 200 4974
[17/Jun/2017 18:24:46] "GET /view_images?id=15949 HTTP/1.1" 301 0
[17/Jun/2017 18:24:46] "GET /view_images/?id=15949 HTTP/1.1" 200 7997
[17/Jun/2017 18:24:53] "GET /view_images?id=15947 HTTP/1.1" 301 0
[17/Jun/2017 18:24:53] "GET /view_images/?id=15947 HTTP/1.1" 200 13689
[17/Jun/2017 18:25:10] "GET /query_images/?query=%E5%A5%B3%E8%80%81%E5%B8%88 HTTP/1.1" 200 3898
[17/Jun/2017 18:25:14] "GET /view_images?id=7206 HTTP/1.1" 301 0
[17/Jun/2017 18:25:14] "GET /view_images/?id=7206 HTTP/1.1" 200 4573
[17/Jun/2017 18:25:20] "GET /view_images?id=3209 HTTP/1.1" 301 0
[17/Jun/2017 18:25:21] "GET /view_images/?id=3209 HTTP/1.1" 200 8402
[17/Jun/2017 18:25:30] "GET /query_images/?query=%E8%80%81%E5%B8%88 HTTP/1.1" 200 6823
[17/Jun/2017 18:25:39] "GET /query_images/?query=&pageid=10 HTTP/1.1" 200 6779
[17/Jun/2017 18:25:50] "GET /query_images/?query=&pageid=11 HTTP/1.1" 200 6826
[17/Jun/2017 18:26:04] "GET /query_images/?query=&pageid=12 HTTP/1.1" 200 7179
[17/Jun/2017 18:26:12] "GET /view_images?id=15859 HTTP/1.1" 301 0
[17/Jun/2017 18:26:13] "GET /view_images/?id=15859 HTTP/1.1" 200 6891
[17/Jun/2017 18:26:28] "GET /view_images?id=15884 HTTP/1.1" 301 0
[17/Jun/2017 18:26:28] "GET /view_images/?id=15884 HTTP/1.1" 200 7625
[17/Jun/2017 18:26:37] "GET /query_images/?query=&pageid=13 HTTP/1.1" 200 7289
[17/Jun/2017 18:26:48] "GET /view_images?id=15831 HTTP/1.1" 301 0
